wa_label,ons_label,name,subgroup,OA_2001,OA_2001_new,IN250,OUT250,IN500,OUT500,IN750,OUT750,IN1000,OUT1000
02ATGC,00ATGC0011,,7a1,02ATGC0011,E00012868,0,0,0,0,0,0,0,0
02ATGC,00ATGC0007,,7a3,02ATGC0007,E00012864,0,0,0,0,0,0,0,0
02BFGP,00BFGP0028,,2b1,02BFGP0028,E00020917,0,0,0,0,0,0,0,0
02BFGP,00BFGP0031,,2b2,02BFGP0031,E00020920,0,0,0,0,0,0,0,0
02BFGQ,00BFGQ0032,,2a2,02BFGQ0032,E00020960,0,0,0,0,0,0,0,0
02BAGF,00BAGF0004,,7a2,02BAGF0004,E00017235,0,0,0,0,0,0,0,0
02BAGC,00BAGC0021,,7b2,02BAGC0021,E00017156,0,0,0,0,0,0,0,0
02ASHD,00ASHD0013,,7a3,02ASHD0013,E00012651,0,0,0,0,0,0,0,0
02AJGY,00AJGY0019,,7a3,02AJGY0019,E00006778,0,0,0,0,0,0,0,0
02AJGH,00AJGH0004,,7b1,02AJGH0004,E00006184,0,0,0,0,0,0,0,0
02ANGR,00ANGR0030,,7b1,02ANGR0030,E00009823,0,0,0,0,0,0,0,0
02BFGT,00BFGT0032,,5b3,02BFGT0032,E00021067,0,0,0,0,0,0,0,0
02ANGR,00ANGR0031,,7b1,02ANGR0031,E00009824,0,0,0,0,0,0,0,0
02ASHD,00ASHD0007,,7a3,02ASHD0007,E00012645,0,0,0,0,0,0,0,0
02ASHD,00ASHD0006,,7a3,02ASHD0006,E00012644,0,0,0,0,0,0,0,0
02AHGQ,00AHGQ0034,,4d1,02AHGQ0034,E00005355,0,0,0,0,0,0,0,0
02BJGS,00BJGS0013,,7b1,02BJGS0013,E00023289,0,0,0,0,0,0,0,0
02ASHD,00ASHD0009,,7a3,02ASHD0009,E00012647,0,0,0,0,0,0,0,0
02BJGS,00BJGS0036,,2a2,02BJGS0036,E00023312,0,0,0,0,0,0,0,0
02BJGS,00BJGS0009,,2a2,02BJGS0009,E00023285,0,0,0,0,0,0,0,0
02ASHD,00ASHD0035,,7a3,02ASHD0035,E00012673,0,0,0,0,0,0,0,0
02ASGG,00ASGG0026,,7b2,02ASGG0026,E00011966,0,0,0,0,0,0,0,0
02BFGP,00BFGP0025,,2b2,02BFGP0025,E00020914,0,0,0,0,0,0,0,0
02BFGP,00BFGP0006,,2a1,02BFGP0006,E00020895,0,0,0,0,0,0,0,0
02BFGP,00BFGP0013,,2a2,02BFGP0013,E00020902,0,0,0,0,0,0,0,0
02BFGP,00BFGP0015,,2b1,02BFGP0015,E00020904,0,0,0,0,0,0,0,0
02BFGP,00BFGP0017,,2b1,02BFGP0017,E00020906,0,0,0,0,0,0,0,0
02BAFX,00BAFX0015,,2b2,02BAFX0015,E00016986,0,0,0,0,0,0,0,0
02ATGB,00ATGB0021,,2a2,02ATGB0021,E00012839,0,0,0,0,0,0,0,0
02BJGF,00BJGF0018,,7b1,02BJGF0018,E00022785,0,0,0,0,0,0,0,0
02BJGF,00BJGF0015,,7a3,02BJGF0015,E00022782,0,0,0,0,0,0,0,0
02BFGM,00BFGM0020,,7b1,02BFGM0020,E00020837,0,0,0,0,0,0,0,0
02BJGH,00BJGH0020,,2a1,02BJGH0020,E00022878,0,0,0,0,0,0,0,0
02BFGM,00BFGM0039,,6c1,02BFGM0039,E00020856,0,0,0,0,0,0,0,0
02AYGM,00AYGM0018,,7b1,02AYGM0018,E00015726,0,0,0,0,0,0,0,0
02ATGH,00ATGH0004,,7a3,02ATGH0004,E00013027,0,0,0,0,0,0,0,0
02AJGC,00AJGC0043,,7b1,02AJGC0043,E00006008,0,0,0,0,0,0,0,0
02BJGP,00BJGP0030,,2b2,02BJGP0030,E00023168,0,0,0,0,0,0,0,0
02ANGM,00ANGM0005,,7a3,02ANGM0005,E00009648,0,0,0,0,0,0,0,0
02ANGM,00ANGM0011,,7b1,02ANGM0011,E00009654,0,0,0,0,0,0,0,0
02BJGC,00BJGC0044,,2a1,02BJGC0044,E00022669,0,0,0,0,0,0,0,0
02AYGR,00AYGR0044,,2a2,02AYGR0044,E00015933,0,0,0,0,0,0,0,0
