OA_2001_old,OA_2001,IN500Cent,OUT500Cent,IN750Cent,OUT750Cent,IN1000Cent,OUT1000Cent
00AHGU0028,E00005508,0,0,0,0,0,0
00AHGU0008,E00005488,0,0,0,0,0,0
00AHGU0016,E00005496,0,0,0,0,0,0
00AHGU0011,E00005491,0,0,0,0,0,0
00AHGU0017,E00005497,0,0,0,0,0,0
00ATGC0027,E00012884,0,0,0,0,0,0
00ATGC0025,E00012882,0,0,0,0,0,0
00ATGC0022,E00012879,0,0,0,0,0,0
00ASGJ0019,E00012029,0,0,0,0,0,0
00AHGU0022,E00005502,0,0,0,0,0,0
00AHGU0019,E00005499,0,0,0,0,0,0
00AHGU0010,E00005490,0,0,0,0,0,0
00AHGU0007,E00005487,0,0,0,0,0,0
00AHGU0035,E00005515,0,0,0,0,0,0
00AHGU0036,E00005516,0,0,0,0,0,0
00AHGU0038,E00005518,0,0,0,0,0,0
00AHGU0003,E00005483,0,0,0,0,0,0
00AHGU0033,E00005513,0,0,0,0,0,0
00ASGQ0021,E00012229,0,0,0,0,0,0
00AHGU0037,E00005517,0,0,0,0,0,0
00BFGH0014,E00020705,0,0,0,0,0,0
00AHGJ0008,E00005062,0,0,0,0,0,0
00BFGH0015,E00020706,0,0,0,0,0,0
00BFGH0013,E00020704,0,0,0,0,0,0
00BFGH0016,E00020707,0,0,0,0,0,0
00BFGH0012,E00020703,0,0,0,0,0,0
00BFGH0010,E00020701,0,0,0,0,0,0
00BFGE0029,E00020624,0,0,0,0,0,0
00BFGE0002,E00020597,0,0,0,0,0,0
00BFGE0033,E00020628,0,0,0,0,0,0
00AHGU0032,E00005512,0,0,0,0,0,0
00AHGU0002,E00005482,0,0,0,0,0,0
00AHHA0037,E00005749,0,0,0,0,0,0
